Russisch;Deutsch;Grammatik;Formen;Quelle
В семь часов утра я пью кофе.;Um 7:00 Uhr morgens trinke ich Kaffee.;;;Vokabeln Homework 06-02-26.txt
рабочий;Arbeits-;Adjektiv;рабочий;Frauen im Mutterschutz.txt
по́лночь;Mitternacht;;;Russisch_5_1_Vokabeln_Quizlet.txt
знать;wissen;unvollendeter Aspekt;;МОЯ ФИРМА.txt
ма́ма;die Mama;;;Familie.txt
у́зкий;schmal / eng;;;Antonyme.txt
часо́в;"Stunden (5-20; 25-30...)";;;Russisch_5_1_Vokabeln_Quizlet.txt
Сергеевна;Sergejewna;weibl. Patronym;;МОЯ ФИРМА.txt
Сергеевна;Sergejevna;weibl. Vatersname;;AI: МОЯ ФИРМА
убирать квартиру;die Wohnung aufräumen / putzen;Akkusativ - direktes Objekt;;Vokabeln Homework 06-02-26.txt
идти на работу;zur Arbeit gehen;на + Akkusativ - Richtung: wohin? bei Institutionen/Kursen;;Vokabeln Homework 06-02-26.txt
душ;Dusche;;;Russisch_5_1_Vokabeln_Quizlet.txt
опять;wieder;Adverb;опять;Frauen im Mutterschutz.txt
распоря́док дня;Tagesablauf;;;Russisch_5_1_Vokabeln_Quizlet.txt
кури́ть;rauchen;;;Russisch_5_1_Vokabeln_Quizlet.txt
Обычно я прихожу с работы в восемнадцать часов.;Normalerweise komme ich um achtzehn Uhr von der Arbeit.;;;Vokabeln Homework 06-02-26.txt
давно;schon lange;Adverb;;AI: МОЯ ФИРМА
кни́га;Buch;;;Bilder-Test.txt
электроплитка;Elektrokocher;weibl.;;AI: МОЯ ФИРМА
у вас;Sie haben;Besitzkonstruktion;;МОЯ ФИРМА.txt
большо́й;groß;;;Antonyme.txt
репети́ция;Probe;;;Russisch_5_1_Vokabeln_Quizlet.txt
мучительный;quälend;;;Vokabeln - Einführung Psychoanalyse.txt
у́жинать;zu Abend essen;;;Russisch_5_1_Vokabeln_Quizlet.txt
жена;die Ehefrau;;;Vokabelliste_Mutterschutz.txt
у́жин;Abendessen;;;Russisch_5_1_Vokabeln_Quizlet.txt
кончает;beendet;НСВ, 3л. ед.ч.;;AI: МОЯ ФИРМА
никогда;nie;Adverb;;AI: МОЯ ФИРМА
широ́кий;breit;;;Antonyme.txt
на по́чту;zur Post;;;Russisch_5_1_Vokabeln_Quizlet.txt
декрет;Mutterschaftsurlaub;männl. Subst.;декрете;Frauen im Mutterschutz.txt
начинать;anfangen, beginnen;unvollendeter Aspekt;;AI: МОЯ ФИРМА
её;sie (Akkusativ), ihr;Personalpronomen, 3. Pers. Sg. weibl.;;Frank und seine Hobbies.txt
встава́ть ра́но;früh aufstehen;;;Russisch_5_1_Vokabeln_Quizlet.txt
сначала ... а потом;zuerst ... und dann;Adverb - zeitliche Abfolge;;Vokabeln Homework 06-02-26.txt
ожидание;die Erwartung;;;Vokabeln - Einführung Psychoanalyse.txt
летит время;die Zeit fliegt / wie die Zeit vergeht;;;workbook_p_100.txt
кончать;aufhören, beenden;unvollendeter Aspekt;;AI: МОЯ ФИРМА
мой;mein;Possessivpronomen;;Frank und seine Hobbies.txt
нельзя;man darf nicht, es ist unmöglich;Adverb;;Frauen im Mutterschutz.txt
Михаил;Michail;männl. Eigenname;;МОЯ ФИРМА.txt
изуча́ть ру́сский язы́к;Russisch lernen;;;Russisch_5_1_Vokabeln_Quizlet.txt
дом;Haus, Zuhause;männl.;;Frauen im Mutterschutz.txt
Леночка;Lenotschka;weibl. Kosename;;МОЯ ФИРМА.txt
до у́жина;vor dem Abendessen;;;Russisch_5_1_Vokabeln_Quizlet.txt
звать;heißen, nennen;unvollendeter Aspekt;;AI: МОЯ ФИРМА
ходить на рыбалку;angeln gehen;;;workbook_p_100.txt
особенно;besonders;Adverb;;Frank und seine Hobbies.txt
читать;lesen;unvollendeter Aspekt;читать, читать;Frauen im Mutterschutz.txt
потому;deswegen;Kausaladverb;;Das laute Büro.txt
сова;die Eule / die Nachteule;;;workbook_p_100.txt
талант;Talent;männl.;;МОЯ ФИРМА.txt
